Country.Name,CPI,Term.Limit,Polity,History.Democracy,LogGDPpercap,British,Protestant,Federation,Stability
New Zealand,87,3,10,1,4.63,1,38.4,0,1.54
Denmark,88,3,10,1,4.79,0,87.3,0,0.96
Finland,85,3,10,1,4.7,0,83.5,0,0.92
Switzerland,85,3,10,1,4.92,0,34.3,1,1.34
Sweden,85,3,10,1,4.74,0,84.2,0,0.91
Norway,84,3,10,1,4.91,0,81,0,1.15
Netherlands,82,3,10,1,4.72,0,17.1,0,0.87
Germany,80,3,10,1,4.68,0,39.7,1,0.6
Canada,81,3,10,1,4.66,1,34.1,1,0.99
United Kingdom,80,3,8,1,4.63,1,37,0,0.05
Australia,77,3,10,1,4.76,1,40.4,1,0.98
Austria,76,3,10,1,4.71,0,4.7,1,0.92
Belgium,75,3,8,1,4.68,0,0.1,1,0.41
Ireland,73,3,10,1,4.9,1,2.5,0,1.03
Uruguay,70,1,10,0,4.24,0,8.5,0,1.05
United States of America,71,2,8,1,4.8,1,51,1,0.48
France,72,2,9,1,4.62,0,2.4,0,0.11
Chile,67,3,10,0,4.2,0,15.7,0,0.43
Portugal,64,2,10,1,4.37,0,1.4,0,1.14
Spain,58,3,10,1,4.48,0,0.5,1,0.25
Botswana,61,2,8,1,3.92,1,65.4,0,0.98
Lithuania,59,2,10,0,4.28,0,4,0,0.75
"Korea, South",57,1,8,0,4.5,0,24,0,0.54
Poland,60,2,10,0,4.19,0,0.4,0,0.55
Costa Rica,56,1,10,1,4.08,0,21.3,0,0.49
Latvia,58,3,8,0,4.25,0,16.5,0,0.42
Czech Republic,59,3,9,0,4.36,0,1.8,0,1.04
Rwanda,56,2,-3,0,2.89,0,27.8,0,0.12
Namibia,53,2,6,0,3.77,0,52.7,0,0.65
Mauritius,51,3,10,1,4.05,1,4.5,0,0.87
Slovakia,50,3,9,0,4.29,0,13.5,0,0.75
Cuba,47,2,-5,0,3.95,0,5.3,0,0.65
Croatia,48,3,9,0,4.17,0,0.2,0,0.77
Argentina,40,2,9,0,4.07,0,9.7,1,0.02
Romania,47,2,9,0,4.09,0,7.4,0,0.06
Hungary,46,3,10,0,4.21,0,22.5,0,0.76
South Africa,43,2,9,0,3.8,1,53.2,0,-0.28
Jamaica,44,3,9,1,3.73,1,59.4,0,0.49
Bulgaria,42,3,9,0,3.97,0,1.1,0,0.42
Solomon Islands,44,3,8,0,3.33,1,70.3,0,0.3
India,41,3,9,1,3.3,1,1.5,1,-0.96
Lesotho,41,3,8,0,3.11,1,29.7,0,-0.22
Trinidad and Tobago,41,3,10,1,4.23,1,10.3,0,0.25
Indonesia,38,2,9,0,3.59,0,5.7,0,-0.53
Serbia,39,3,8,0,3.86,0,1.2,0,0.08
Ecuador,34,2,5,0,3.8,0,1.5,0,-0.07
Ethiopia,34,3,1,0,2.89,0,15.3,1,-1.34
Vietnam,33,2,-7,0,3.41,0,1.2,0,0.2
Panama,37,1,9,0,4.19,0,22.9,0,0.28
Peru,35,1,9,0,3.84,0,16.1,0,-0.26
Brazil,35,2,8,0,3.95,0,23.4,1,-0.36
North Macedonia,37,3,9,0,3.78,0,0.8,0,-0.2
Philippines,36,1,8,0,3.49,0,9,0,-1.12
El Salvador,35,1,8,0,3.61,0,31.9,0,-0.33
Kazakhstan,31,2,-6,0,3.99,0,2.6,0,0
Bolivia,29,3,7,0,3.55,0,11.5,0,-0.24
Gabon,31,3,3,0,3.9,0,21,0,-0.25
Malawi,32,2,6,0,2.59,1,50.6,0,-0.33
Ukraine,32,2,4,0,3.49,0,1.6,0,-1.83
Mexico,28,1,8,0,3.99,0,10.2,1,-0.57
Dominican Republic,30,2,7,0,3.91,0,15.2,0,0.03
Paraguay,29,1,9,0,3.77,0,11.3,0,-0.12
Russia,28,2,4,0,4.05,0,0.9,1,-0.5
Kenya,27,2,9,0,3.23,1,38.8,0,-1.16
Uganda,26,3,-1,0,2.81,1,36.1,0,-0.69
Honduras,29,1,7,0,3.4,0,8.7,0,-0.55
Guatemala,27,1,8,0,3.66,0,38.4,0,-0.54
Nicaragua,25,3,6,0,3.31,0,17.3,0,-0.8
Haiti,20,1,5,0,2.94,0,38.7,0,-0.63
